formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
BaGe$_{0.5}$O$_{5}$Si$_{1.5}$,4.649,$\AA$,90,°,,,orthorhombic,13.596,$\AA$,90,°,7.739,$\AA$,90,°,62
Nb$_{7}$O$_{18.25}$Tl$_{0.96}$,27.50(2),$\AA$,90,°,,,tetragonal,3.94(1),$\AA$,90,°,27.50(2),$\AA$,90,°,127
F$_{6}$Na$_{2}$U,6.112(2),$\AA$,120,°,,,trigonal,7.240(2),$\AA$,90,°,6.112(2),$\AA$,90,°,143
In$_{0.17}$O$_{3}$W,7.3762(10),$\AA$,120,°,,,hexagonal,7.4983(17),$\AA$,90,°,7.3762(10),$\AA$,90,°,193
In$_{0.15}$O$_{3}$W,7.3824(11),$\AA$,120,°,,,hexagonal,7.5082(10),$\AA$,90,°,7.3824(11),$\AA$,90,°,193
In$_{0.18}$O$_{3}$W,7.3888(11),$\AA$,120,°,,,hexagonal,7.5007(6),$\AA$,90,°,7.3888(11),$\AA$,90,°,193
In$_{0.21}$O$_{3}$W,7.3883(12),$\AA$,120,°,,,hexagonal,7.5065(11),$\AA$,90,°,7.3883(12),$\AA$,90,°,193
In$_{0.24}$O$_{3}$W,7.3837(11),$\AA$,120,°,,,hexagonal,7.5012(7),$\AA$,90,°,7.3837(11),$\AA$,90,°,193
In$_{0.28}$O$_{3}$W,7.3673(30),$\AA$,120,°,,,hexagonal,7.5020(12),$\AA$,90,°,7.3673(30),$\AA$,90,°,193
In$_{0.3}$O$_{3}$W,7.3750(13),$\AA$,120,°,,,hexagonal,7.5009(6),$\AA$,90,°,7.3750(13),$\AA$,90,°,193
In$_{0.31}$O$_{3}$W,7.3716(11),$\AA$,120,°,,,hexagonal,7.5038(7),$\AA$,90,°,7.3716(11),$\AA$,90,°,193
F$_{29}$Na$_{3}$Th$_{6}$Zn,10.116(2),$\AA$,120,°,,,trigonal,13.255(2),$\AA$,90,°,10.116(2),$\AA$,90,°,150
CdO$_{3}$Pb,10.453(2),$\AA$,90,°,,,cubic,10.453(2),$\AA$,90,°,10.453(2),$\AA$,90,°,206
Fe$_{2.8}$O$_{4}$Sn$_{0.2}$,8.461,$\AA$,90,°,,,cubic,8.461,$\AA$,90,°,8.461,$\AA$,90,°,227
Fe$_{2.6}$O$_{4}$Sn$_{0.4}$,8.529,$\AA$,90,°,,,cubic,8.529,$\AA$,90,°,8.529,$\AA$,90,°,227
Fe$_{2.5}$O$_{4}$Sn$_{0.5}$,8.595,$\AA$,90,°,,,cubic,8.595,$\AA$,90,°,8.595,$\AA$,90,°,227
Nb$_{1.34}$O$_{6.67}$Pb$_{2}$Ti$_{0.66}$,10.52,$\AA$,90,°,,,cubic,10.52,$\AA$,90,°,10.52,$\AA$,90,°,227
CrO$_{6}$Ta$_{2}$,4.74,$\AA$,90,°,,,monoclinic,9.305,$\AA$,90,°,4.75,$\AA$,90.95,°,14
BaCo$_{0.5}$O$_{3}$Ta$_{0.5}$,4.077(3),$\AA$,90,°,,,cubic,4.077(3),$\AA$,90,°,4.077(3),$\AA$,90,°,221
Gd$_{0.29}$O$_{3}$Ta$_{0.87}$W$_{0.13}$,3.869,$\AA$,90,°,,,orthorhombic,3.858,$\AA$,90,°,7.737,$\AA$,90,°,47
Gd$_{0.07}$O$_{3}$Ta$_{0.21}$W$_{0.79}$,5.326,$\AA$,90,°,,,orthorhombic,3.786,$\AA$,90,°,5.383,$\AA$,90,°,65
O$_{6}$Ta$_{1.75}$Tl$_{1.75}$W$_{0.25}$,10.5,$\AA$,90,°,,,cubic,10.5,$\AA$,90,°,10.5,$\AA$,90,°,227
KO$_{6}$SbW,10.234(3),$\AA$,90,°,,,cubic,10.234(3),$\AA$,90,°,10.234(3),$\AA$,90,°,227
O$_{6}$RbSbW,10.245(3),$\AA$,90,°,,,cubic,10.245(3),$\AA$,90,°,10.245(3),$\AA$,90,°,227
CsO$_{6}$SbW,10.279(3),$\AA$,90,°,,,cubic,10.279(3),$\AA$,90,°,10.279(3),$\AA$,90,°,227
O$_{6}$SbTlW,10.244(3),$\AA$,90,°,,,cubic,10.244(3),$\AA$,90,°,10.244(3),$\AA$,90,°,227
H$_{3}$O$_{7}$SbW,10.278(3),$\AA$,90,°,,,cubic,10.278(3),$\AA$,90,°,10.278(3),$\AA$,90,°,227
H$_{4}$NO$_{6}$SbW,10.252(3),$\AA$,90,°,,,cubic,10.252(3),$\AA$,90,°,10.252(3),$\AA$,90,°,227
AgH$_{2}$O$_{7}$SbW,10.303(3),$\AA$,90,°,,,cubic,10.303(3),$\AA$,90,°,10.303(3),$\AA$,90,°,227
BaGe$_{2.5}$O$_{9}$Si$_{1.5}$,6.667,$\AA$,120,°,,,hexagonal,9.703(5),$\AA$,90,°,6.667,$\AA$,90,°,188
BaGe$_{3.125}$O$_{9}$Si$_{0.875}$,11.595(5),$\AA$,120,°,,,trigonal,9.755(5),$\AA$,90,°,11.595(5),$\AA$,90,°,159
Ca$_{1.0833}$Nb$_{.6667}$O$_{3}$Sr$_{.25}$,9.84,$\AA$,90,°,,,,14.176,$\AA$,90,°,5.583,$\AA$,90.783,°,
Ca$_{.5833}$Nb$_{.6667}$O$_{3}$Sr$_{.75}$,9.99,$\AA$,90,°,,,,14.16,$\AA$,90,°,5.73,$\AA$,90,°,
Ca$_{1.2333}$Nb$_{.6667}$O$_{3}$Sr$_{.1}$,11.54,$\AA$,90,°,,,,11.18,$\AA$,90,°,16.04,$\AA$,90,°,
Ca$_{1.0833}$Nb$_{.6667}$O$_{3}$Sr$_{.25}$,5.778,$\AA$,90,°,,,,5.63,$\AA$,90,°,8.052,$\AA$,90,°,
Ca$_{.5833}$Nb$_{.6667}$O$_{3}$Sr$_{.75}$,8.14,$\AA$,90,°,,,,8.147,$\AA$,90,°,8.14,$\AA$,90,°,
Ca$_{0.3333}$Nb$_{0.6667}$O$_{3}$Sr,8.19,$\AA$,90,°,,,tetragonal,8.209,$\AA$,90,°,8.19,$\AA$,90,°,81
Mo$_{3}$Nd$_{5}$O$_{16}$,10.99(1),$\AA$,90,°,,,cubic,10.99(1),$\AA$,90,°,10.99(1),$\AA$,90,°,222
Ge$_{3}$KO$_{9}$Ta,6.972(5),$\AA$,120,°,,,hexagonal,10.144(5),$\AA$,90,°,6.972(5),$\AA$,90,°,188
Ge$_{3}$O$_{9}$RbTa,7.041(5),$\AA$,120,°,,,hexagonal,10.116(5),$\AA$,90,°,7.041(5),$\AA$,90,°,188
Ge$_{3}$NbO$_{9}$Rb,7.038(5),$\AA$,120,°,,,hexagonal,10.132(5),$\AA$,90,°,7.038(5),$\AA$,90,°,188
Ge$_{3}$O$_{9}$TaTl,7.036(5),$\AA$,120,°,,,hexagonal,10.124(5),$\AA$,90,°,7.036(5),$\AA$,90,°,188
BaGe$_{3}$O$_{9}$Sn,6.894(5),$\AA$,120,°,,,hexagonal,10.233(5),$\AA$,90,°,6.894(5),$\AA$,90,°,188
O$_{46}$Sn$_{10}$W$_{16}$,7.667(4),$\AA$,120,°,,,hexagonal,18.640(4),$\AA$,90,°,7.667(4),$\AA$,90,°,176
O$_{13}$Tl$_{2}$W$_{4}$,7.327(2),$\AA$,90,°,,,orthorhombic,3.840(1),$\AA$,90,°,37.864(5),$\AA$,90,°,57
KNbO$_{5}$Ti,6.447,$\AA$,90,°,,,orthorhombic,18.431,$\AA$,90,°,3.797,$\AA$,90,°,62
K$_{0.85}$Nb$_{1.15}$O$_{5}$Ti$_{0.85}$,6.474,$\AA$,90,°,,,orthorhombic,18.765,$\AA$,90,°,3.8,$\AA$,90,°,62
NbO$_{5}$RbTi,6.472,$\AA$,90,°,,,orthorhombic,18.943,$\AA$,90,°,3.814,$\AA$,90,°,62
